0
Arthrobacter sp. StoSoilB20
Arthrobacter sp. StoSoilB19
Arthrobacter sp. StoSoilB13
Arthrobacter sp. StoSoilB5
Arthrobacter sp. StoSoilB3
Arthrobacter sp. StoSoilA2
Arthrobacter sp. NtRootD5
Arthrobacter sp. NtRootC45
Arthrobacter sp. NtRootC7
Arthrobacter sp. NtRootA9
Arthrobacter sp. NtRootA4
Arthrobacter sp. NtRootA2
Arthrobacter sp. NtRootA1
Nostoc sp. MS1
Bordetella pertussis
Thermus thermophilus
Actinomyces sp. MAS-1
Legionella pneumophila
Serratia marcescens
Helicobacter pylori
Aureimonas sp. SA4125
Arachnia rubra
Enterobacter asburiae
Haemophilus haemolyticus
Shewanella xiamenensis
Raoultella ornithinolytica
Rhodoferax sp. MIZ03
Leptospira kobayashii
Corallococcus sp. EGB
Raoultella planticola
Serratia ureilytica
Enterobacter sp. JBIWA003
Enterobacter sp. JBIWA005
Enterobacter sp. JBIWA008
Serratia sp. JSRIV001
Serratia sp. JSRIV002
Serratia sp. JSRIV004
Serratia sp. JSRIV006
Priestia aryabhattai
Polaribacter litorisediminis
Faecalibacterium prausnitzii
Lacticaseibacillus rhamnosus
Streptomyces angustmyceticus
Bacillus sp. BY2G20
Sutcliffiella horikoshii
Shewanella inventionis
Klebsiella aerogenes
Nocardioides rotundus
Bacillus paralicheniformis
Caulobacter segnis
Cupriavidus pauculus
Granulicatella adiacens
Campylobacter hominis
Bartonella henselae
Haemophilus aegyptius
Legionella anisa
Eikenella corrodens
Burkholderia dolosa
Mycolicibacterium smegmatis
Capnocytophaga ochracea
Haemophilus influenzae
Legionella longbeachae
Bacteroides nordii
Gordonia bronchialis
Nocardia asteroides
Prevotella nigrescens
Sphingomonas sp. AK-PDB1-5
Kluyvera sp. CRP
Sporolactobacillus terrae
Leifsonia sp. ZF2019
Synechocystis sp. PCC 7339
Candidatus Schneideria nysicola
Aquirufa sp. 9H-EGSE
Polymorphobacter sp. PAMC 29362
Paraclostridium bifermentans
Burkholderia contaminans
Bacillus aquiflavi
Geobacter sulfurreducens
Ruegeria sp. SCSIO 43209
Zunongwangia sp. SCSIO 43204
Marixanthomonas sp. SCSIO 43207
Erythrobacter sp. SCSIO 43205
Mesoflavibacter sp. SCSIO 43206
Vibrio sp. SCSIO 43132
Dactylosporangium vinaceum
Alteromonadaceae bacterium NBU2194
Myxococcus xanthus
Nitratireductor kimnyeongensis
Leptolyngbya sp. PKUAC-SCTE412
Streptomyces sp. ST1015
Staphylococcus arlettae
Pantoea dispersa
Exiguobacterium acetylicum
Klebsiella sp. CTHL.F3a
Limosilactobacillus fermentum
Providencia rettgeri
Crassaminicella profunda
Leucobacter sp. NB 10
Enterobacter cancerogenus
Enterobacter sp. C2
Nocardioides sp. SCSIO 67246
Pseudomonas sp. DNDY-54
Streptomyces decoyicus
Pseudomonas otitidis
Mycoplasma sp. E35C
Enterococcus faecalis
Pseudomonas sp. SC3(2021)
